rowid,group,estimate,conf.low,conf.high,ImpositionH,Power,Intimate,Kin,StanceH,StanceS,Speaker,PronTypeSimple
62,Jun,0.5171903622785056,0.019584139390755078,0.9664528721499701,,Speaker,N,,Pos,Q,?,Qing
63,Jun,0.9298762501267076,0.7331913699087522,0.985846875830154,,Speaker,N,,Pos,,?,Qing
64,Jun,0.07317563812679961,0.005292379190530287,0.4224878935402216,,Speaker,N,,Neg,Pos,?,Qing
65,Jun,0.20435381059901636,0.0045992120950904825,0.8712728098830479,,Speaker,N,,Neg,Q,?,Qing
66,Jun,0.7455690294411365,0.39540655383516077,0.9257854611416308,,Speaker,N,,Neg,,?,Qing
67,Jun,0.03534588399355623,0.0020376848362786207,0.3272701957881459,,Speaker,N,,Q,Pos,?,Qing
68,Jun,0.12244924330089957,0.0019175491682996146,0.8120808032732778,,Speaker,N,,Q,Q,?,Qing
69,Jun,0.6417089654275319,0.229417476751363,0.9196942524487582,,Speaker,N,,Q,,?,Qing
70,Jun,0.08149541835145305,0.0066447262262866,0.43044795825116067,,Speaker,N,,,Pos,?,Qing
71,Jun,0.22646266241827873,0.005338131231062014,0.8729366211768989,,Speaker,N,,,Q,?,Qing
72,Jun,0.7722222407940664,0.4469394609731359,0.9357850525727843,,Speaker,N,,,,?,Qing
73,Jun,0.04509285485025084,0.0021239305047484904,0.4064236204188549,,Equal,/,Yes,Pos,Pos,?,Qing
74,Jun,0.12048042394285449,0.0020581488626979865,0.828257867808384,,Equal,/,Yes,Pos,Q,?,Qing
75,Jun,0.5807942936931276,0.07134926398853643,0.9132194831617744,,Equal,/,Yes,Pos,,?,Qing
76,Jun,0.009099140104765513,3.8359694066851123e-4,0.10956313932514457,,Equal,/,Yes,Neg,Pos,?,Qing
77,Jun,0.026364000326477982,4.2563235580768573e-4,0.4396465496431096,,Equal,/,Yes,Neg,Q,?,Qing
78,Jun,0.19002980871574704,0.013333510802789625,0.6214083379248652,,Equal,/,Yes,Neg,,?,Qing
79,Jun,0.005981054223941906,2.5000667429442324e-4,0.08932299984022135,,Equal,/,Yes,Q,Pos,?,Qing
80,Jun,0.020498620553950735,2.9226384111707667e-4,0.4272797090827808,,Equal,/,Yes,Q,Q,?,Qing
81,Jun,0.20133255005664918,0.02478073654265305,0.6812732631474243,,Equal,/,Yes,Q,,?,Qing
82,Jun,0.010693086541967194,4.859795034207585e-4,0.12533882605146415,,Equal,/,Yes,,Pos,?,Qing
83,Jun,0.0314397542511603,5.021801190560587e-4,0.47972358793851566,,Equal,/,Yes,,Q,?,Qing
84,Jun,0.2216693288705203,0.016883052872976343,0.6620788796710942,,Equal,/,Yes,,,?,Qing
85,Jun,0.028134995278680894,0.0017289628866541124,0.25950923544538723,,Equal,/,,Pos,Pos,?,Qing
86,Jun,0.1035505437473426,0.00180107839390425,0.7672840066359109,,Equal,/,,Pos,Q,?,Qing
87,Jun,0.6086469188295759,0.23702339022677432,0.8938052130657081,,Equal,/,,Pos,,?,Qing
