rowid,group,estimate,conf.low,conf.high,ImpositionH,Power,Intimate,Kin,StanceH,StanceS,Speaker,PronTypeSimple
148,Jun,0.032019284753141336,0.005042302585037231,0.11998489881256477,,Listener,/,Yes,Neg,Pos,?,Qing
149,Jun,0.07904016252769029,0.009054695343993127,0.3990324638006293,,Listener,/,Yes,Neg,Q,?,Qing
150,Jun,0.35271844730313473,0.08896324549142184,0.662377014781431,,Listener,/,Yes,Neg,,?,Qing
151,Jun,0.025121088850585914,0.004488954689452346,0.10757171567982614,,Listener,/,Yes,Q,Pos,?,Qing
152,Jun,0.07640988785300706,0.009879259279762975,0.39199337956117486,,Listener,/,Yes,Q,Q,?,Qing
153,Jun,0.4931141859525938,0.20159678574723539,0.7628076403709496,,Listener,/,Yes,Q,,?,Qing
154,Jun,0.030499142542150776,0.005278111367051909,0.11700155942668519,,Listener,/,Yes,,Pos,?,Qing
155,Jun,0.07958840190951161,0.010073175622629302,0.38592710334143127,,Listener,/,Yes,,Q,?,Qing
156,Jun,0.3708673554296822,0.10720604462635908,0.6734220429222567,,Listener,/,Yes,,,?,Qing
157,Jun,0.0064110681934690435,8.348850295682847e-4,0.04053498018922524,,Listener,/,,Pos,Pos,?,Qing
158,Jun,0.042893341507973096,0.0044614030202425135,0.277052446240423,,Listener,/,,Pos,Q,?,Qing
159,Jun,0.14586673849614612,0.0449695409591789,0.3595286381934108,,Listener,/,,Pos,,?,Qing
160,Jun,0.015390813204671793,0.0032184512469411305,0.06236414376867812,,Listener,/,,Neg,Pos,?,Qing
161,Jun,0.05820105673845839,0.008126999873543005,0.27912703662802446,,Listener,/,,Neg,Q,?,Qing
162,Jun,0.4372639181284328,0.2407741533280427,0.6435294773837388,,Listener,/,,Neg,,?,Qing
163,Jun,0.006152452886544626,9.521933095253773e-4,0.02977295757565533,,Listener,/,,Q,Pos,?,Qing
164,Jun,0.023735868784539524,0.0028531643397695207,0.16120700838822982,,Listener,/,,Q,Q,?,Qing
165,Jun,0.22787278347128687,0.07547598737988918,0.49344149384589475,,Listener,/,,Q,,?,Qing
166,Jun,0.006199029675390861,0.0010461559565377587,0.028969112852142986,,Listener,/,,,Pos,?,Qing
167,Jun,0.028891183001426138,0.00401550844429757,0.17710845218181612,,Listener,/,,,Q,?,Qing
168,Jun,0.17771629402183975,0.0708302643981239,0.36759696215755794,,Listener,/,,,,?,Qing
169,Jun,0.09993073911616532,0.02153707542409686,0.32089147207406343,,Listener,Y,Yes,Pos,Pos,?,Qing
170,Jun,0.2767228649769924,0.045907318452619736,0.7132936903716124,,Listener,Y,Yes,Pos,Q,?,Qing
171,Jun,0.8287877245297123,0.6343117520954791,0.9258838369610437,,Listener,Y,Yes,Pos,,?,Qing
172,Jun,0.051839980641814956,0.012811413454289055,0.16584378637961028,,Listener,Y,Yes,Neg,Pos,?,Qing
173,Jun,0.15264361249537978,0.022551745769353114,0.525380019109016,,Listener,Y,Yes,Neg,Q,?,Qing
174,Jun,0.7133397927145382,0.5323103810272147,0.8514480702230922,,Listener,Y,Yes,Neg,,?,Qing
175,Jun,0.020070727844272274,0.003979160376574852,0.07877975390284603,,Listener,Y,Yes,Q,Pos,?,Qing
176,Jun,0.06868374181648834,0.00893457342749936,0.3359655994981208,,Listener,Y,Yes,Q,Q,?,Qing
177,Jun,0.5168467298216238,0.2713974945562174,0.7470171994780016,,Listener,Y,Yes,Q,,?,Qing
178,Jun,0.044170292601634575,0.010854960080883526,0.14148239847703922,,Listener,Y,Yes,,Pos,?,Qing
179,Jun,0.12812526287338055,0.020578369967158356,0.4735035867131935,,Listener,Y,Yes,,Q,?,Qing
180,Jun,0.6796958445130142,0.4880779024068249,0.8257177475136959,,Listener,Y,Yes,,,?,Qing
181,Jun,0.0031803722133380242,3.930535603454882e-4,0.01946563268521236,,Listener,Y,,Pos,Pos,?,Qing
182,Jun,0.021508214671139975,0.0023451587652490442,0.1589081848716408,,Listener,Y,,Pos,Q,?,Qing
183,Jun,0.07750899448644374,0.021849052372610447,0.21378194966581632,,Listener,Y,,Pos,,?,Qing
184,Jun,0.008601819531091692,0.001865413344198382,0.03466444232954381,,Listener,Y,,Neg,Pos,?,Qing
185,Jun,0.033473904846261164,0.004535811852854751,0.17005796333721596,,Listener,Y,,Neg,Q,?,Qing
186,Jun,0.3047813389894168,0.15655537599995534,0.49202680718958813,,Listener,Y,,Neg,,?,Qing
187,Jun,0.003301808143878737,5.045641147390932e-4,0.015789714295045002,,Listener,Y,,Q,Pos,?,Qing
188,Jun,0.01277729539148005,0.0015302729774304149,0.08937206893210746,,Listener,Y,,Q,Q,?,Qing
189,Jun,0.13403831227746607,0.04138833806357359,0.32776147647086185,,Listener,Y,,Q,,?,Qing
190,Jun,0.0032227710720868098,5.754846233130718e-4,0.015660406150909613,,Listener,Y,,,Pos,?,Qing
191,Jun,0.015444387132686196,0.002094123715688715,0.10070180337781964,,Listener,Y,,,Q,?,Qing
192,Jun,0.1043362681665325,0.039927367488517364,0.21765844387736885,,Listener,Y,,,,?,Qing
193,Jun,0.4602421714150893,0.13612246634668496,0.7935576215005554,,Listener,N,Yes,Pos,Pos,?,Qing
194,Jun,0.7290265318261224,0.2502648020845397,0.9485242029789905,,Listener,N,Yes,Pos,Q,?,Qing
195,Jun,0.9679567679516727,0.8994173888966485,0.9893354511016724,,Listener,N,Yes,Pos,,?,Qing
196,Jun,0.2347794887210231,0.058320838942915655,0.5725317350460404,,Listener,N,Yes,Neg,Pos,?,Qing
197,Jun,0.4919297222847609,0.1003255877013369,0.8685859470733195,,Listener,N,Yes,Neg,Q,?,Qing
198,Jun,0.9049363006648146,0.7418098260630842,0.9698646547257268,,Listener,N,Yes,Neg,,?,Qing
199,Jun,0.13628052716285702,0.02942992088223128,0.4299366923789973,,Listener,N,Yes,Q,Pos,?,Qing
200,Jun,0.3489023863100271,0.06159994426556763,0.8115985323918284,,Listener,N,Yes,Q,Q,?,Qing
201,Jun,0.8776240117776222,0.6726993193759765,0.9613302489987369,,Listener,N,Yes,Q,,?,Qing
202,Jun,0.22497356291584453,0.056304973093898224,0.5510314234576698,,Listener,N,Yes,,Pos,?,Qing
203,Jun,0.4779881733603273,0.10003358077389549,0.8537283590978547,,Listener,N,Yes,,Q,?,Qing
204,Jun,0.9073335855876076,0.7546871624932254,0.9674726228377999,,Listener,N,Yes,,,?,Qing
205,Jun,0.049353316981975676,0.0074966836564626166,0.23610903553552645,,Listener,N,,Pos,Pos,?,Qing
206,Jun,0.24812466668058442,0.032361366973545407,0.7232430028551513,,Listener,N,,Pos,Q,?,Qing
207,Jun,0.6161895904451038,0.314333248887146,0.8379878619501645,,Listener,N,,Pos,,?,Qing
208,Jun,0.08481585393317415,0.019856703451604178,0.28266860946333267,,Listener,N,,Neg,Pos,?,Qing
209,Jun,0.26785998166045766,0.04706077344842404,0.6962482055714129,,Listener,N,,Neg,Q,?,Qing
210,Jun,0.8262481175417511,0.6685761373957115,0.9213717102729954,,Listener,N,,Neg,,?,Qing
211,Jun,0.03334604987322195,0.005883752543192469,0.14751275103275568,,Listener,N,,Q,Pos,?,Qing
