rowname,Estimate,Est.Error,Q10,Q90
muRuEr_KinYes,5.564466466882796,1.4383219086376278,3.8284746216004093,7.475468239769163
muRuEr_ImpositionHHBen,0.6254713312166233,1.0838947240559036,-0.7271719784256153,2.0221327355582517
muRuEr_ImpositionHLifting,-1.6026714721725275,3.3906246413220886,-6.063046922059428,2.586078145951657
muRuEr_ImpositionHT,1.5537186892949233,1.1591729667510213,0.06427464334717028,3.032721071917262
muRuEr_PowerEqual:IntimateN,1.5347477966456051,2.6167059896342986,-1.8304887119913453,4.895539247281344
muRuEr_PowerListener:IntimateN,-3.2814674013519185,3.0918001450210695,-7.23551087624094,0.6197223929266056
muRuEr_PowerSpeaker:IntimateN,0.7848221262810324,2.3059544696569994,-2.0966196252074045,3.7220249713221305
muRuEr_PowerEqual:IntimateY,1.1134849837338399,2.624448393400073,-2.195877625399714,4.424593530494149
muRuEr_PowerListener:IntimateY,-4.181992702902068,2.95868164992905,-8.052277698499381,-0.459918136793082
muRuEr_PowerSpeaker:IntimateY,1.6682131286542567,2.315171440377226,-1.3299644509164574,4.581820650602248
